n	tiempo
1000	4.1e-05
1500	4.7e-05
2000	7.4e-05
2500	7.8e-05
3000	9.4e-05
3500	0.000109
4000	0.000133
4500	0.000139
5000	0.000154
5500	0.00017
6000	0.000184
6500	0.0002
7000	0.000215
7500	0.00025
8000	0.00025
8500	0.000261
9000	0.000283
9500	0.000292
10000	0.000307
10500	0.000322
11000	0.000338
11500	0.000353
12000	0.000368
12500	0.000383
13000	0.000399
13500	0.000416
14000	0.000431
14500	0.000482
15000	0.000479
15500	0.000493
16000	0.000509
16500	0.000508
17000	0.000521
17500	0.000537
18000	0.000552
18500	0.000568
19000	0.000583
19500	0.000599
20000	0.000614
20500	0.00063
21000	0.00065
21500	0.00066
22000	0.000675
22500	0.00069
23000	0.000707
23500	0.000722
24000	0.000736
24500	0.000752
25000	0.000769
25500	0.000781
